Metric,H-statistic,p-value,Significant,all_mean_rank,climate_mean_rank,migration_mean_rank
connected_components,54.57705479452051,1.4084555066582115e-12,True,60.5,16.375,32.625
average_clustering,47.46137747336377,4.941887218354113e-11,True,60.5,23.458333333333332,25.541666666666668
transitivity,46.25742009132421,9.022540779424576e-11,True,59.958333333333336,27.833333333333332,21.708333333333332
max_core_number,44.47398141731268,2.200886472574253e-10,True,59.416666666666664,21.729166666666668,28.354166666666668
modularity,38.85920852359209,3.6461126591076597e-09,True,14.833333333333334,45.75,48.916666666666664
rich_club_coefficient,36.7193683409437,1.0628952721495936e-08,True,57.625,26.541666666666668,25.333333333333332
density,29.229642313546435,4.4963883884198946e-07,True,24.25,55.041666666666664,30.208333333333332
network_avg_toxicity,14.303843226788416,0.000783357324145681,True,23.333333333333332,42.375,43.791666666666664
assortativity,4.4355022831050235,0.10885363018071863,False,29.458333333333332,38.208333333333336,41.833333333333336
