quarter,network_type,count,mean,std,min,25%,50%,75%,max
1,all,6.0,0.14822441632403013,0.02372686671418224,0.11752813826147492,0.1342869717110992,0.14776540009131678,0.1575241735925952,0.18571629915602422
1,climate,6.0,0.18367740318015066,0.027528527061086862,0.14641316794979573,0.1673370647982039,0.18266757875066653,0.19919706281116295,0.22338230931773045
1,migration,6.0,0.18327379584528267,0.025017138914909177,0.150701149406582,0.16686266342879202,0.18361326374855313,0.19608069645913456,0.22019946081647443
2,all,6.0,0.162172304158091,0.031094516972077647,0.1251353241530031,0.14006882705861667,0.16171503030214607,0.17742706712667156,0.20895060147896388
2,climate,6.0,0.21011360339934282,0.04442316730022149,0.1607643960614198,0.1797052772969364,0.2022480331729407,0.23332486325758547,0.2795463260313535
2,migration,6.0,0.21153698920838113,0.04268681703649592,0.1594446986445032,0.1815751079344481,0.2094371540948598,0.23558427322173267,0.27431518960439594
3,all,6.0,0.16391719778162014,0.04196463829673211,0.12502191412739408,0.12801865233475282,0.15492499381405156,0.19712756765510486,0.2183863208237811
3,climate,6.0,0.2064371676168193,0.05416287406246787,0.15488229861145855,0.15980672490898992,0.19648831553765728,0.2513512779219548,0.2735456159313214
3,migration,6.0,0.20919984895901186,0.052155357870398336,0.16134951431221775,0.16283139585767364,0.20086482150784946,0.24985435581277274,0.2757821485374589
4,all,6.0,0.17328606887998999,0.042663332731617425,0.131529917411608,0.1417349262209603,0.15882883781893126,0.20521017598297886,0.23382124250450464
4,climate,6.0,0.2009484469585795,0.04294678490065652,0.16226360825368194,0.17519388380266812,0.17887292286887443,0.23132284636463218,0.2629075361162288
4,migration,6.0,0.20648088272884532,0.047791157135547206,0.16358020341724036,0.17384717425488977,0.18481262976357693,0.24114994310975763,0.2755587634515324
