month_start,all,climate,migration
2020-01-01,0.11752813826147492,0.14641316794979573,0.150701149406582
2020-02-01,0.14033184191133202,0.17419338249483268,0.1757618248739593
2020-03-01,0.13227201497768828,0.16505162556599431,0.16389627628040293
2020-04-01,0.1251353241530031,0.1607643960614198,0.1594446986445032
2020-05-01,0.13777824450884832,0.17874549456288027,0.1780408844290497
2020-06-01,0.1469405747079218,0.1825846254991047,0.19217777845064332
2020-07-01,0.12873448952102032,0.16181747664341575,0.16598562118477495
2020-08-01,0.12778003993933032,0.159136474330848,0.16177998741530655
2020-09-01,0.12502191412739408,0.15488229861145855,0.16134951431221775
2020-10-01,0.131529917411608,0.16226360825368194,0.16358020341724036
2020-11-01,0.14031547393112806,0.1764892447676859,0.17798520475265076
2020-12-01,0.14599328309045703,0.17476209681432886,0.1724678307556361
2021-01-01,0.15829924536635975,0.20188215874605048,0.19761936107113043
2021-02-01,0.15519895827130156,0.19114177500650034,0.191464702623147
2021-03-01,0.18571629915602422,0.22338230931773045,0.22019946081647443
2021-04-01,0.20895060147896388,0.2795463260313535,0.27431518960439594
2021-05-01,0.1764894858963703,0.22191144084677675,0.2266965297390763
2021-06-01,0.17773959420343866,0.23712933739452172,0.23854685438261813
2021-07-01,0.2183863208237811,0.2735456159313214,0.2757821485374589
2021-08-01,0.20246492417111223,0.25808198575197344,0.254557800473389
2021-09-01,0.18111549810708283,0.23115915443189883,0.23574402183092397
2021-10-01,0.17166439254740545,0.18125660097006296,0.19164005477450313
2021-11-01,0.23382124250450464,0.2480115948294886,0.2576532392215091
2021-12-01,0.21639210379483667,0.2629075361162288,0.2755587634515324
